alarm_id,equipment_id,timestamp,alarm_type,severity,site_id,cleared_flag
ALM-5001,EQ-003,2026-03-10T00:02:14.321Z,Link Down,Critical,SITE-CO-001,No
ALM-5002,EQ-007,2026-03-10T00:02:14.450Z,High CPU,Major,SITE-CT-005,No
ALM-5003,EQ-012,2026-03-10T00:02:15.102Z,BGP Peer Loss,Critical,SITE-HS-002,No
ALM-5004,EQ-019,2026-03-10T00:02:15.889Z,Power Supply Fault,Major,SITE-CO-002,No
ALM-5005,EQ-025,2026-03-10T00:02:16.234Z,High Temperature,Minor,SITE-CT-007,No
ALM-5006,EQ-031,2026-03-10T00:02:16.890Z,Interface Flap,Major,SITE-HS-004,No
ALM-5007,EQ-003,2026-03-10T00:02:17.120Z,Link Down,Critical,SITE-CO-001,No
ALM-5008,EQ-038,2026-03-10T00:02:17.550Z,Memory Threshold,Minor,SITE-CO-003,No
ALM-5009,EQ-042,2026-03-10T00:02:18.001Z,Fiber Degradation,Major,SITE-UV-003,No
ALM-5010,EQ-048,2026-03-10T00:02:18.345Z,Signal Loss,Critical,SITE-AP-010,No
ALM-5011,EQ-005,2026-03-10T00:02:19.102Z,High Latency,Minor,SITE-CB-012,No
ALM-5012,EQ-011,2026-03-10T00:02:19.567Z,Packet Loss,Major,SITE-HS-002,No
ALM-5013,EQ-003,2026-03-10T00:02:20.230Z,Link Down,Critical,SITE-CO-001,Yes
ALM-5014,EQ-018,2026-03-10T00:02:20.780Z,Config Change,Minor,SITE-CO-002,No
ALM-5015,EQ-024,2026-03-10T00:02:21.102Z,Fan Failure,Major,SITE-CT-007,No
ALM-5016,EQ-030,2026-03-10T00:02:21.560Z,OSPF Neighbor Loss,Critical,SITE-HS-004,No
ALM-5017,EQ-036,2026-03-10T00:02:22.001Z,High Jitter,Minor,SITE-CO-003,No
ALM-5018,EQ-041,2026-03-10T00:02:22.450Z,CRC Errors,Major,SITE-UV-003,No
ALM-5019,EQ-047,2026-03-10T00:02:23.102Z,Power Grid Alert,Major,SITE-AP-010,No
ALM-5020,EQ-002,2026-03-10T00:02:23.567Z,DDoS Detected,Critical,SITE-CO-001,No
ALM-5021,EQ-007,2026-03-10T00:02:24.001Z,High CPU,Major,SITE-CT-005,Yes
ALM-5022,EQ-013,2026-03-10T00:02:24.450Z,Port Security Violation,Critical,SITE-HS-002,No
ALM-5023,EQ-020,2026-03-10T00:02:25.102Z,UPS Battery Low,Major,SITE-CO-002,No
ALM-5024,EQ-026,2026-03-10T00:02:25.560Z,Link Degradation,Minor,SITE-CT-007,No
ALM-5025,EQ-032,2026-03-10T00:02:26.001Z,Environmental Alarm,Minor,SITE-HS-004,No
ALM-5026,EQ-037,2026-03-10T00:02:26.450Z,MPLS LSP Down,Critical,SITE-CO-003,No
ALM-5027,EQ-043,2026-03-10T00:02:27.102Z,OTDR Threshold,Major,SITE-UV-003,No
ALM-5028,EQ-049,2026-03-10T00:02:27.560Z,RF Interference,Major,SITE-AP-010,No
ALM-5029,EQ-004,2026-03-10T00:02:28.001Z,STP Topology Change,Minor,SITE-CO-001,No
ALM-5030,EQ-010,2026-03-10T00:02:28.450Z,RADIUS Auth Failure,Major,SITE-HS-002,No
ALM-5031,EQ-016,2026-03-10T00:02:29.102Z,NTP Sync Loss,Minor,SITE-CO-002,No
ALM-5032,EQ-022,2026-03-10T00:02:29.560Z,VLAN Mismatch,Minor,SITE-CT-007,No
ALM-5033,EQ-028,2026-03-10T00:02:30.001Z,Trunk Utilization High,Major,SITE-HS-004,No
ALM-5034,EQ-034,2026-03-10T00:02:30.450Z,DNS Resolution Failure,Major,SITE-CO-003,No
ALM-5035,EQ-040,2026-03-10T00:02:31.102Z,Fiber Cut Detected,Critical,SITE-UV-003,No
ALM-5036,EQ-046,2026-03-10T00:02:31.560Z,Antenna Misalignment,Major,SITE-AP-010,No
ALM-5037,EQ-001,2026-03-10T00:02:32.001Z,ARP Storm,Major,SITE-CO-001,No
ALM-5038,EQ-008,2026-03-10T00:02:32.450Z,Disk Space Low,Minor,SITE-CT-005,No
ALM-5039,EQ-014,2026-03-10T00:02:33.102Z,SSL Cert Expiring,Minor,SITE-HS-002,No
ALM-5040,EQ-021,2026-03-10T00:02:33.560Z,Generator Fuel Low,Major,SITE-CO-002,No
ALM-5041,EQ-012,2026-03-10T00:02:34.001Z,BGP Peer Loss,Critical,SITE-HS-002,Yes
ALM-5042,EQ-027,2026-03-10T00:02:34.450Z,Optical Power Low,Major,SITE-CT-007,No
ALM-5043,EQ-033,2026-03-10T00:02:35.102Z,ACL Deny Count High,Minor,SITE-HS-004,No
ALM-5044,EQ-039,2026-03-10T00:02:35.560Z,DWDM Channel Drift,Major,SITE-CO-003,No
ALM-5045,EQ-045,2026-03-10T00:02:36.001Z,Splice Loss High,Major,SITE-UV-003,No
ALM-5046,EQ-050,2026-03-10T00:02:36.450Z,Tower Light Failure,Minor,SITE-AP-010,No
ALM-5047,EQ-006,2026-03-10T00:02:37.102Z,Routing Loop,Critical,SITE-CB-012,No
ALM-5048,EQ-009,2026-03-10T00:02:37.560Z,PoE Overload,Major,SITE-CT-005,No
ALM-5049,EQ-015,2026-03-10T00:02:38.001Z,QoS Queue Drop,Minor,SITE-CO-002,No
ALM-5050,EQ-019,2026-03-10T00:02:38.450Z,Power Supply Fault,Major,SITE-CO-002,Yes
ALM-5051,EQ-023,2026-03-10T00:02:39.102Z,Bandwidth Exceeded,Major,SITE-CT-007,No
ALM-5052,EQ-029,2026-03-10T00:02:39.560Z,IGMP Snooping Error,Minor,SITE-HS-004,No
ALM-5053,EQ-035,2026-03-10T00:02:40.001Z,NAT Table Full,Critical,SITE-CO-003,No
ALM-5054,EQ-044,2026-03-10T00:02:40.450Z,Connector Fault,Major,SITE-UV-003,No
ALM-5055,EQ-048,2026-03-10T00:02:41.102Z,Signal Loss,Critical,SITE-AP-010,Yes
ALM-5056,EQ-002,2026-03-10T00:02:41.560Z,DDoS Detected,Critical,SITE-CO-001,No
ALM-5057,EQ-011,2026-03-10T00:02:42.001Z,Packet Loss,Major,SITE-HS-002,Yes
ALM-5058,EQ-017,2026-03-10T00:02:42.450Z,Firmware Mismatch,Minor,SITE-CO-002,No
ALM-5059,EQ-031,2026-03-10T00:02:43.102Z,Interface Flap,Major,SITE-HS-004,Yes
ALM-5060,EQ-037,2026-03-10T00:02:43.560Z,MPLS LSP Down,Critical,SITE-CO-003,No
ALM-5061,EQ-042,2026-03-10T00:02:44.001Z,Fiber Degradation,Major,SITE-UV-003,Yes
ALM-5062,EQ-005,2026-03-10T00:02:44.450Z,High Latency,Minor,SITE-CB-012,Yes
ALM-5063,EQ-016,2026-03-10T00:02:45.102Z,NTP Sync Loss,Minor,SITE-CO-002,Yes
ALM-5064,EQ-030,2026-03-10T00:02:45.560Z,OSPF Neighbor Loss,Critical,SITE-HS-004,Yes
ALM-5065,EQ-040,2026-03-10T00:02:46.001Z,Fiber Cut Detected,Critical,SITE-UV-003,No
ALM-5066,EQ-046,2026-03-10T00:02:46.450Z,Antenna Misalignment,Major,SITE-AP-010,Yes
ALM-5067,EQ-003,2026-03-10T00:02:47.102Z,Link Flap,Major,SITE-CO-001,No
ALM-5068,EQ-020,2026-03-10T00:02:47.560Z,UPS Battery Low,Major,SITE-CO-002,Yes
ALM-5069,EQ-026,2026-03-10T00:02:48.001Z,Link Degradation,Minor,SITE-CT-007,Yes
ALM-5070,EQ-036,2026-03-10T00:02:48.450Z,High Jitter,Minor,SITE-CO-003,Yes
ALM-5071,EQ-047,2026-03-10T00:02:49.102Z,Power Grid Alert,Major,SITE-AP-010,Yes
ALM-5072,EQ-001,2026-03-10T00:02:49.560Z,ARP Storm,Major,SITE-CO-001,Yes
ALM-5073,EQ-010,2026-03-10T00:02:50.001Z,RADIUS Auth Failure,Major,SITE-HS-002,No
ALM-5074,EQ-022,2026-03-10T00:02:50.450Z,VLAN Mismatch,Minor,SITE-CT-007,Yes
ALM-5075,EQ-034,2026-03-10T00:02:51.102Z,DNS Resolution Failure,Major,SITE-CO-003,Yes
ALM-5076,EQ-043,2026-03-10T00:02:51.560Z,OTDR Threshold,Major,SITE-UV-003,Yes
ALM-5077,EQ-049,2026-03-10T00:02:52.001Z,RF Interference,Major,SITE-AP-010,No
ALM-5078,EQ-008,2026-03-10T00:02:52.450Z,Disk Space Low,Minor,SITE-CT-005,Yes
ALM-5079,EQ-014,2026-03-10T00:02:53.102Z,SSL Cert Expiring,Minor,SITE-HS-002,No
ALM-5080,EQ-025,2026-03-10T00:02:53.560Z,High Temperature,Minor,SITE-CT-007,Yes
ALM-5081,EQ-002,2026-03-10T00:02:54.001Z,DDoS Detected,Critical,SITE-CO-001,Yes
ALM-5082,EQ-035,2026-03-10T00:02:54.450Z,NAT Table Full,Critical,SITE-CO-003,Yes
ALM-5083,EQ-040,2026-03-10T00:02:55.102Z,Fiber Cut Detected,Critical,SITE-UV-003,No
ALM-5084,EQ-006,2026-03-10T00:02:55.560Z,Routing Loop,Critical,SITE-CB-012,Yes
ALM-5085,EQ-021,2026-03-10T00:02:56.001Z,Generator Fuel Low,Major,SITE-CO-002,No
ALM-5086,EQ-033,2026-03-10T00:02:56.450Z,ACL Deny Count High,Minor,SITE-HS-004,Yes
ALM-5087,EQ-044,2026-03-10T00:02:57.102Z,Connector Fault,Major,SITE-UV-003,No
ALM-5088,EQ-050,2026-03-10T00:02:57.560Z,Tower Light Failure,Minor,SITE-AP-010,Yes
ALM-5089,EQ-009,2026-03-10T00:02:58.001Z,PoE Overload,Major,SITE-CT-005,Yes
ALM-5090,EQ-013,2026-03-10T00:02:58.450Z,Port Security Violation,Critical,SITE-HS-002,Yes
ALM-5091,EQ-028,2026-03-10T00:02:59.102Z,Trunk Utilization High,Major,SITE-HS-004,No
ALM-5092,EQ-037,2026-03-10T00:02:59.560Z,MPLS LSP Down,Critical,SITE-CO-003,Yes
ALM-5093,EQ-045,2026-03-10T00:03:00.001Z,Splice Loss High,Major,SITE-UV-003,Yes
ALM-5094,EQ-004,2026-03-10T00:03:00.450Z,STP Topology Change,Minor,SITE-CO-001,Yes
ALM-5095,EQ-015,2026-03-10T00:03:01.102Z,QoS Queue Drop,Minor,SITE-CO-002,Yes
ALM-5096,EQ-029,2026-03-10T00:03:01.560Z,IGMP Snooping Error,Minor,SITE-HS-004,Yes
ALM-5097,EQ-038,2026-03-10T00:03:02.001Z,Memory Threshold,Minor,SITE-CO-003,Yes
ALM-5098,EQ-040,2026-03-10T00:03:02.450Z,Fiber Cut Detected,Critical,SITE-UV-003,Yes
ALM-5099,EQ-010,2026-03-10T00:03:03.102Z,RADIUS Auth Failure,Major,SITE-HS-002,Yes
ALM-5100,EQ-023,2026-03-10T00:03:03.560Z,Bandwidth Exceeded,Major,SITE-CT-007,Yes
